,f1,f1_id,f1_static,f1_value,f2,f2_id,f2_static,f2_value
0,[*]c1ccc2c(c1)OCc1ccccc1C2=O,CHEMBL2177221,[*]Nc1cc(NC(=O)c2ccccc2)ccc1C,7.76955107862,[*]c1ccc2c(c1)CCCCC2=O,CHEMBL2177217,[*]Nc1cc(NC(=O)c2ccccc2)ccc1C,7.85387196432
1,[*]c1ccc2c(c1)OCc1ccccc1C2=O,CHEMBL2177221,[*]Nc1cc(NC(=O)c2ccccc2)ccc1C,7.76955107862,[*]c1ccc2c(c1)CCc1ccccc1C2=O,CHEMBL2177212,[*]Nc1cc(NC(=O)c2ccccc2)ccc1C,7.45593195565
2,[*]c1ccc2c(c1)CCCCC2=O,CHEMBL2177217,[*]Nc1cc(NC(=O)c2ccccc2)ccc1C,7.85387196432,[*]c1ccc2c(c1)OCc1ccccc1C2=O,CHEMBL2177221,[*]Nc1cc(NC(=O)c2ccccc2)ccc1C,7.76955107862
3,[*]c1ccc2c(c1)CCCCC2=O,CHEMBL2177217,[*]Nc1cc(NC(=O)c2ccccc2)ccc1C,7.85387196432,[*]c1ccc2c(c1)CCc1ccccc1C2=O,CHEMBL2177212,[*]Nc1cc(NC(=O)c2ccccc2)ccc1C,7.45593195565
4,[*]c1ccc2c(c1)CCc1ccccc1C2=O,CHEMBL2177212,[*]Nc1cc(NC(=O)c2ccccc2)ccc1C,7.45593195565,[*]c1ccc2c(c1)OCc1ccccc1C2=O,CHEMBL2177221,[*]Nc1cc(NC(=O)c2ccccc2)ccc1C,7.76955107862
5,[*]c1ccc2c(c1)CCc1ccccc1C2=O,CHEMBL2177212,[*]Nc1cc(NC(=O)c2ccccc2)ccc1C,7.45593195565,[*]c1ccc2c(c1)CCCCC2=O,CHEMBL2177217,[*]Nc1cc(NC(=O)c2ccccc2)ccc1C,7.85387196432
448,[*]c1ccc2c(c1)CCCCC2=O,CHEMBL2182085,[*]Nc1cc(NC(=O)c2ccsc2)c(F)cc1C,8.52287874528,[*]c1ccc2c(c1)OCc1ccccc1C2=O,CHEMBL2182090,[*]Nc1cc(NC(=O)c2ccsc2)c(F)cc1C,7.92081875395
449,[*]c1ccc2c(c1)OCc1ccccc1C2=O,CHEMBL2182090,[*]Nc1cc(NC(=O)c2ccsc2)c(F)cc1C,7.92081875395,[*]c1ccc2c(c1)CCCCC2=O,CHEMBL2182085,[*]Nc1cc(NC(=O)c2ccsc2)c(F)cc1C,8.52287874528
450,[*]c1cc2cnn([*])c2n(C)c1=O,CHEMBL1093461,[*]c1c(F)cccc1F.[*]c1cc(C(=O)O)ccc1C,6.03810452633,[*]c1cc2cnnc([*])c2n(C)c1=O,CHEMBL1253812,[*]c1cc(C(=O)O)ccc1C.[*]c1ccc(F)cc1F,6
451,[*]c1cc2cnnc([*])c2n(C)c1=O,CHEMBL1253812,[*]c1cc(C(=O)O)ccc1C.[*]c1ccc(F)cc1F,6,[*]c1cc2cnn([*])c2n(C)c1=O,CHEMBL1093461,[*]c1c(F)cccc1F.[*]c1cc(C(=O)O)ccc1C,6.03810452633
982,[*]c1cc2cnnc([*])c2n(C)c1=O,CHEMBL1254074,[*]Nc1ccc(F)cc1.[*]c1ccc(F)cc1F,8.65757731918,[*]c1cc(=O)n(C)c2c1cnn2[*],CHEMBL550596,[*]Nc1ccc(F)cc1.[*]c1c(F)cccc1F,6
983,[*]c1cc(=O)n(C)c2c1cnn2[*],CHEMBL550596,[*]Nc1ccc(F)cc1.[*]c1c(F)cccc1F,6,[*]c1cc2cnnc([*])c2n(C)c1=O,CHEMBL1254074,[*]Nc1ccc(F)cc1.[*]c1ccc(F)cc1F,8.65757731918
1022,[*]c1cc2cnn([*])c2n(C)c1=O,CHEMBL1092011,[*]c1c(F)cccc1F.[*]c1cc(C(=O)NC2(C)CC2)ccc1C,8.46852108296,[*]c1cc2cnnc([*])c2n(C)c1=O,CHEMBL1254988,[*]c1cc(C(=O)NC2(C)CC2)ccc1C.[*]c1ccc(F)cc1F,8.50863830617
1023,[*]c1cc2cnnc([*])c2n(C)c1=O,CHEMBL1254988,[*]c1cc(C(=O)NC2(C)CC2)ccc1C.[*]c1ccc(F)cc1F,8.50863830617,[*]c1cc2cnn([*])c2n(C)c1=O,CHEMBL1092011,[*]c1c(F)cccc1F.[*]c1cc(C(=O)NC2(C)CC2)ccc1C,8.46852108296
1068,[*]c1cc2cnn([*])c2n(C)c1=O,CHEMBL1091929,[*]c1c(F)cccc1F.[*]c1cc(C(=O)NC2CC2)cc(F)c1C,8.79588001734,[*]c1cc2nnc([*])n2n(C)c1=O,CHEMBL1945720,[*]c1c(F)cccc1F.[*]c1cc(C(=O)NC2CC2)cc(F)c1C,7.7328282716
1069,[*]c1cc2cnn([*])c2n(C)c1=O,CHEMBL1091929,[*]c1c(F)cccc1F.[*]c1cc(C(=O)NC2CC2)cc(F)c1C,8.79588001734,[*]c1cc2cnnc([*])c2n(C)c1=O,CHEMBL1254901,[*]c1cc(C(=O)NC2CC2)cc(F)c1C.[*]c1ccc(F)cc1F,8.85387196432
1070,[*]c1cc2nnc([*])n2n(C)c1=O,CHEMBL1945720,[*]c1c(F)cccc1F.[*]c1cc(C(=O)NC2CC2)cc(F)c1C,7.7328282716,[*]c1cc2cnn([*])c2n(C)c1=O,CHEMBL1091929,[*]c1c(F)cccc1F.[*]c1cc(C(=O)NC2CC2)cc(F)c1C,8.79588001734
1071,[*]c1cc2nnc([*])n2n(C)c1=O,CHEMBL1945720,[*]c1c(F)cccc1F.[*]c1cc(C(=O)NC2CC2)cc(F)c1C,7.7328282716,[*]c1cc2cnnc([*])c2n(C)c1=O,CHEMBL1254901,[*]c1cc(C(=O)NC2CC2)cc(F)c1C.[*]c1ccc(F)cc1F,8.85387196432
1072,[*]c1cc2cnnc([*])c2n(C)c1=O,CHEMBL1254901,[*]c1cc(C(=O)NC2CC2)cc(F)c1C.[*]c1ccc(F)cc1F,8.85387196432,[*]c1cc2cnn([*])c2n(C)c1=O,CHEMBL1091929,[*]c1c(F)cccc1F.[*]c1cc(C(=O)NC2CC2)cc(F)c1C,8.79588001734
1073,[*]c1cc2cnnc([*])c2n(C)c1=O,CHEMBL1254901,[*]c1cc(C(=O)NC2CC2)cc(F)c1C.[*]c1ccc(F)cc1F,8.85387196432,[*]c1cc2nnc([*])n2n(C)c1=O,CHEMBL1945720,[*]c1c(F)cccc1F.[*]c1cc(C(=O)NC2CC2)cc(F)c1C,7.7328282716
1346,[*]c1cc2cnn([*])c2n([*])c1=O,CHEMBL1089866,[*]CC.[*]c1cc(C(=O)NC2CC2)ccc1C.[*]c1ccc(F)cc1F,8.92081875395,[*]c1cc2nnc([*])n2n([*])c1=O,CHEMBL1945722,[*]CC.[*]c1c(F)cccc1F.[*]c1cc(C(=O)NC2CC2)ccc1C,8.10790539731
1347,[*]c1cc2nnc([*])n2n([*])c1=O,CHEMBL1945722,[*]CC.[*]c1c(F)cccc1F.[*]c1cc(C(=O)NC2CC2)ccc1C,8.10790539731,[*]c1cc2cnn([*])c2n([*])c1=O,CHEMBL1089866,[*]CC.[*]c1cc(C(=O)NC2CC2)ccc1C.[*]c1ccc(F)cc1F,8.92081875395
1362,[*]c1ccc2c(c1)CCCCC2=O,CHEMBL2182094,[*]Nc1cc(C(=O)Nc2cccc(C(C)(C)C)c2)ccc1C,7,[*]c1ccc2c(c1)CCc1ccccc1C2=O,CHEMBL2177228,[*]Nc1cc(C(=O)Nc2cccc(C(C)(C)C)c2)ccc1C,5.82390874094
1363,[*]c1ccc2c(c1)CCc1ccccc1C2=O,CHEMBL2177228,[*]Nc1cc(C(=O)Nc2cccc(C(C)(C)C)c2)ccc1C,5.82390874094,[*]c1ccc2c(c1)CCCCC2=O,CHEMBL2182094,[*]Nc1cc(C(=O)Nc2cccc(C(C)(C)C)c2)ccc1C,7
1388,[*]c1cc2c(cc1Cl)C1(CCCC1)C(=O)N2,CHEMBL1800915,[*]c1cccc(C(=O)NC2CC2)c1,8.09691001301,[*]c1ccc2c(c1)NC(=O)C21CCCC1,CHEMBL1800914,[*]c1cccc(C(=O)NC2CC2)c1,6.88605664769
1389,[*]c1ccc2c(c1)NC(=O)C21CCCC1,CHEMBL1800914,[*]c1cccc(C(=O)NC2CC2)c1,6.88605664769,[*]c1cc2c(cc1Cl)C1(CCCC1)C(=O)N2,CHEMBL1800915,[*]c1cccc(C(=O)NC2CC2)c1,8.09691001301
1430,[*]c1cc2cnn([*])c2n(C)c1=O,CHEMBL1093461,[*]c1c(F)cccc1F.[*]c1cc(C(=O)O)ccc1C,6.03810452633,[*]c1cc2cnnc([*])c2n(C)c1=O,CHEMBL1253812,[*]c1cc(C(=O)O)ccc1C.[*]c1ccc(F)cc1F,6
1431,[*]c1cc2cnnc([*])c2n(C)c1=O,CHEMBL1253812,[*]c1cc(C(=O)O)ccc1C.[*]c1ccc(F)cc1F,6,[*]c1cc2cnn([*])c2n(C)c1=O,CHEMBL1093461,[*]c1c(F)cccc1F.[*]c1cc(C(=O)O)ccc1C,6.03810452633
1436,[*]c1ccc2c(c1)OCc1ccccc1C2=O,CHEMBL2177224,[*]Nc1ccc(F)c(NC(=O)c2ccccc2)c1,7.69897000434,[*]c1ccc2c(c1)CCc1ccccc1C2=O,CHEMBL2177215,[*]Nc1ccc(F)c(NC(=O)c2ccccc2)c1,8.30102999566
1437,[*]c1ccc2c(c1)OCc1ccccc1C2=O,CHEMBL2177224,[*]Nc1ccc(F)c(NC(=O)c2ccccc2)c1,7.69897000434,[*]c1ccc2c(c1)CCCCC2=O,CHEMBL2177219,[*]Nc1ccc(F)c(NC(=O)c2ccccc2)c1,7.45593195565
1438,[*]c1ccc2c(c1)CCc1ccccc1C2=O,CHEMBL2177215,[*]Nc1ccc(F)c(NC(=O)c2ccccc2)c1,8.30102999566,[*]c1ccc2c(c1)OCc1ccccc1C2=O,CHEMBL2177224,[*]Nc1ccc(F)c(NC(=O)c2ccccc2)c1,7.69897000434
1439,[*]c1ccc2c(c1)CCc1ccccc1C2=O,CHEMBL2177215,[*]Nc1ccc(F)c(NC(=O)c2ccccc2)c1,8.30102999566,[*]c1ccc2c(c1)CCCCC2=O,CHEMBL2177219,[*]Nc1ccc(F)c(NC(=O)c2ccccc2)c1,7.45593195565
1440,[*]c1ccc2c(c1)CCCCC2=O,CHEMBL2177219,[*]Nc1ccc(F)c(NC(=O)c2ccccc2)c1,7.45593195565,[*]c1ccc2c(c1)OCc1ccccc1C2=O,CHEMBL2177224,[*]Nc1ccc(F)c(NC(=O)c2ccccc2)c1,7.69897000434
1441,[*]c1ccc2c(c1)CCCCC2=O,CHEMBL2177219,[*]Nc1ccc(F)c(NC(=O)c2ccccc2)c1,7.45593195565,[*]c1ccc2c(c1)CCc1ccccc1C2=O,CHEMBL2177215,[*]Nc1ccc(F)c(NC(=O)c2ccccc2)c1,8.30102999566
1538,[*]c1ccc2c(c1)CCc1ccccc1C2=O,CHEMBL2182101,[*]Nc1cccc(NC(=O)c2ccc(F)cc2)c1,7.39794000867,[*]c1ccc2c(c1)CCCCC2=O,CHEMBL2177206,[*]Nc1cccc(NC(=O)c2ccc(F)cc2)c1,6.88605664769
1539,[*]c1ccc2c(c1)CCCCC2=O,CHEMBL2177206,[*]Nc1cccc(NC(=O)c2ccc(F)cc2)c1,6.88605664769,[*]c1ccc2c(c1)CCc1ccccc1C2=O,CHEMBL2182101,[*]Nc1cccc(NC(=O)c2ccc(F)cc2)c1,7.39794000867
2942,[*]c1ccc2c(c1)NC(=O)C21CCOCC1,CHEMBL1825148,[*]c1cc(C(=O)Nc2ccon2)ccc1C,10.0457574906,[*]c1ccc2c(c1)NC(=O)C21CCC(F)(F)CC1,CHEMBL1825154,[*]c1cc(C(=O)Nc2ccon2)ccc1C,9.04575749056
2943,[*]c1ccc2c(c1)NC(=O)C21CCOCC1,CHEMBL1825148,[*]c1cc(C(=O)Nc2ccon2)ccc1C,10.0457574906,[*]c1ccc2c(c1)NC(=O)C21CCCC1,CHEMBL1800222,[*]c1cc(C(=O)Nc2ccon2)ccc1C,9.65757731918
2944,[*]c1ccc2c(c1)NC(=O)C21CCC(F)(F)CC1,CHEMBL1825154,[*]c1cc(C(=O)Nc2ccon2)ccc1C,9.04575749056,[*]c1ccc2c(c1)NC(=O)C21CCOCC1,CHEMBL1825148,[*]c1cc(C(=O)Nc2ccon2)ccc1C,10.0457574906
2945,[*]c1ccc2c(c1)NC(=O)C21CCC(F)(F)CC1,CHEMBL1825154,[*]c1cc(C(=O)Nc2ccon2)ccc1C,9.04575749056,[*]c1ccc2c(c1)NC(=O)C21CCCC1,CHEMBL1800222,[*]c1cc(C(=O)Nc2ccon2)ccc1C,9.65757731918
2946,[*]c1ccc2c(c1)NC(=O)C21CCCC1,CHEMBL1800222,[*]c1cc(C(=O)Nc2ccon2)ccc1C,9.65757731918,[*]c1ccc2c(c1)NC(=O)C21CCOCC1,CHEMBL1825148,[*]c1cc(C(=O)Nc2ccon2)ccc1C,10.0457574906
2947,[*]c1ccc2c(c1)NC(=O)C21CCCC1,CHEMBL1800222,[*]c1cc(C(=O)Nc2ccon2)ccc1C,9.65757731918,[*]c1ccc2c(c1)NC(=O)C21CCC(F)(F)CC1,CHEMBL1825154,[*]c1cc(C(=O)Nc2ccon2)ccc1C,9.04575749056
3130,[*]c1ccc2c(c1)CCCCC2=O,CHEMBL2182082,[*]Nc1cccc(NC(=O)c2ccsc2)c1,7.92081875395,[*]c1ccc2c(c1)CCc1ccccc1C2=O,CHEMBL2182074,[*]Nc1cccc(NC(=O)c2ccsc2)c1,8
3131,[*]c1ccc2c(c1)CCCCC2=O,CHEMBL2182082,[*]Nc1cccc(NC(=O)c2ccsc2)c1,7.92081875395,[*]c1ccc2c(c1)OCc1ccccc1C2=O,CHEMBL2182087,[*]Nc1cccc(NC(=O)c2ccsc2)c1,7.69897000434
3132,[*]c1ccc2c(c1)CCc1ccccc1C2=O,CHEMBL2182074,[*]Nc1cccc(NC(=O)c2ccsc2)c1,8,[*]c1ccc2c(c1)CCCCC2=O,CHEMBL2182082,[*]Nc1cccc(NC(=O)c2ccsc2)c1,7.92081875395
3133,[*]c1ccc2c(c1)CCc1ccccc1C2=O,CHEMBL2182074,[*]Nc1cccc(NC(=O)c2ccsc2)c1,8,[*]c1ccc2c(c1)OCc1ccccc1C2=O,CHEMBL2182087,[*]Nc1cccc(NC(=O)c2ccsc2)c1,7.69897000434
3134,[*]c1ccc2c(c1)OCc1ccccc1C2=O,CHEMBL2182087,[*]Nc1cccc(NC(=O)c2ccsc2)c1,7.69897000434,[*]c1ccc2c(c1)CCCCC2=O,CHEMBL2182082,[*]Nc1cccc(NC(=O)c2ccsc2)c1,7.92081875395
3135,[*]c1ccc2c(c1)OCc1ccccc1C2=O,CHEMBL2182087,[*]Nc1cccc(NC(=O)c2ccsc2)c1,7.69897000434,[*]c1ccc2c(c1)CCc1ccccc1C2=O,CHEMBL2182074,[*]Nc1cccc(NC(=O)c2ccsc2)c1,8
3136,[*]c1ccc2c(c1)CCCCC2=O,CHEMBL2182093,[*]Nc1cccc(C(=O)Nc2cccc(C(C)(C)C)c2)c1,5.32790214206,[*]c1ccc2c(c1)CCc1ccccc1C2=O,CHEMBL2177227,[*]Nc1cccc(C(=O)Nc2cccc(C(C)(C)C)c2)c1,5.69897000434
3137,[*]c1ccc2c(c1)CCc1ccccc1C2=O,CHEMBL2177227,[*]Nc1cccc(C(=O)Nc2cccc(C(C)(C)C)c2)c1,5.69897000434,[*]c1ccc2c(c1)CCCCC2=O,CHEMBL2182093,[*]Nc1cccc(C(=O)Nc2cccc(C(C)(C)C)c2)c1,5.32790214206
3688,[*]c1ccc2ncn([*])c(=O)c2c1,CHEMBL2031238,[*]N1CCN(C)CC1.[*]c1cc(NC(=O)c2ccoc2)ccc1C,8.04575749056,[*]c1ccc2nc(C)n([*])c(=O)c2c1,CHEMBL2031239,[*]N1CCN(C)CC1.[*]c1cc(NC(=O)c2ccoc2)ccc1C,5.80999905193
3689,[*]c1ccc2nc(C)n([*])c(=O)c2c1,CHEMBL2031239,[*]N1CCN(C)CC1.[*]c1cc(NC(=O)c2ccoc2)ccc1C,5.80999905193,[*]c1ccc2ncn([*])c(=O)c2c1,CHEMBL2031238,[*]N1CCN(C)CC1.[*]c1cc(NC(=O)c2ccoc2)ccc1C,8.04575749056
3754,[*]c1ccc2c(c1)OCc1ccccc1C2=O,CHEMBL2182086,[*]Nc1cccc(NC(=O)c2ccoc2)c1,7.39794000867,[*]c1ccc2c(c1)CCc1ccccc1C2=O,CHEMBL2182071,[*]Nc1cccc(NC(=O)c2ccoc2)c1,8.04575749056
3755,[*]c1ccc2c(c1)CCc1ccccc1C2=O,CHEMBL2182071,[*]Nc1cccc(NC(=O)c2ccoc2)c1,8.04575749056,[*]c1ccc2c(c1)OCc1ccccc1C2=O,CHEMBL2182086,[*]Nc1cccc(NC(=O)c2ccoc2)c1,7.39794000867
3756,[*]c1cc2cnn([*])c2n(C)c1=O,CHEMBL1089865,[*]c1c(F)cccc1F.[*]c1cc(C(=O)NC2CC2)ccc1C,8.55284196866,[*]c1cc2c(C)nn([*])c2n(C)c1=O,CHEMBL1091927,[*]c1c(F)cccc1F.[*]c1cc(C(=O)NC2CC2)ccc1C,7.79588001734
3757,[*]c1cc2cnn([*])c2n(C)c1=O,CHEMBL1089865,[*]c1c(F)cccc1F.[*]c1cc(C(=O)NC2CC2)ccc1C,8.55284196866,[*]c1cc2nnc([*])n2n(C)c1=O,CHEMBL1945715,[*]c1c(F)cccc1F.[*]c1cc(C(=O)NC2CC2)ccc1C,8.88605664769
3758,[*]c1cc2cnn([*])c2n(C)c1=O,CHEMBL1089865,[*]c1c(F)cccc1F.[*]c1cc(C(=O)NC2CC2)ccc1C,8.55284196866,[*]c1cc2nnc([*])n2n(C)c1=O,CHEMBL1945719,[*]c1cc(C(=O)NC2CC2)ccc1C.[*]c1ccc(F)cc1F,7.77211329539
3759,[*]c1cc2cnn([*])c2n(C)c1=O,CHEMBL1089865,[*]c1c(F)cccc1F.[*]c1cc(C(=O)NC2CC2)ccc1C,8.55284196866,[*]c1cc2cnnc([*])c2n(C)c1=O,CHEMBL1254989,[*]c1cc(C(=O)NC2CC2)ccc1C.[*]c1ccc(F)cc1F,8.56863623584
3760,[*]c1cc2cnn([*])c2n(C)c1=O,CHEMBL1091199,[*]c1cc(C(=O)NC2CC2)ccc1C.[*]c1ccc(F)cc1F,8.33724216832,[*]c1cc2c(C)nn([*])c2n(C)c1=O,CHEMBL1091927,[*]c1c(F)cccc1F.[*]c1cc(C(=O)NC2CC2)ccc1C,7.79588001734
3761,[*]c1cc2cnn([*])c2n(C)c1=O,CHEMBL1091199,[*]c1cc(C(=O)NC2CC2)ccc1C.[*]c1ccc(F)cc1F,8.33724216832,[*]c1cc2nnc([*])n2n(C)c1=O,CHEMBL1945715,[*]c1c(F)cccc1F.[*]c1cc(C(=O)NC2CC2)ccc1C,8.88605664769
3762,[*]c1cc2cnn([*])c2n(C)c1=O,CHEMBL1091199,[*]c1cc(C(=O)NC2CC2)ccc1C.[*]c1ccc(F)cc1F,8.33724216832,[*]c1cc2nnc([*])n2n(C)c1=O,CHEMBL1945719,[*]c1cc(C(=O)NC2CC2)ccc1C.[*]c1ccc(F)cc1F,7.77211329539
3763,[*]c1cc2cnn([*])c2n(C)c1=O,CHEMBL1091199,[*]c1cc(C(=O)NC2CC2)ccc1C.[*]c1ccc(F)cc1F,8.33724216832,[*]c1cc2cnnc([*])c2n(C)c1=O,CHEMBL1254989,[*]c1cc(C(=O)NC2CC2)ccc1C.[*]c1ccc(F)cc1F,8.56863623584
3764,[*]c1cc2c(C)nn([*])c2n(C)c1=O,CHEMBL1091927,[*]c1c(F)cccc1F.[*]c1cc(C(=O)NC2CC2)ccc1C,7.79588001734,[*]c1cc2cnn([*])c2n(C)c1=O,CHEMBL1089865,[*]c1c(F)cccc1F.[*]c1cc(C(=O)NC2CC2)ccc1C,8.55284196866
3765,[*]c1cc2c(C)nn([*])c2n(C)c1=O,CHEMBL1091927,[*]c1c(F)cccc1F.[*]c1cc(C(=O)NC2CC2)ccc1C,7.79588001734,[*]c1cc2cnn([*])c2n(C)c1=O,CHEMBL1091199,[*]c1cc(C(=O)NC2CC2)ccc1C.[*]c1ccc(F)cc1F,8.33724216832
3766,[*]c1cc2c(C)nn([*])c2n(C)c1=O,CHEMBL1091927,[*]c1c(F)cccc1F.[*]c1cc(C(=O)NC2CC2)ccc1C,7.79588001734,[*]c1cc2nnc([*])n2n(C)c1=O,CHEMBL1945715,[*]c1c(F)cccc1F.[*]c1cc(C(=O)NC2CC2)ccc1C,8.88605664769
3767,[*]c1cc2c(C)nn([*])c2n(C)c1=O,CHEMBL1091927,[*]c1c(F)cccc1F.[*]c1cc(C(=O)NC2CC2)ccc1C,7.79588001734,[*]c1cc2nnc([*])n2n(C)c1=O,CHEMBL1945719,[*]c1cc(C(=O)NC2CC2)ccc1C.[*]c1ccc(F)cc1F,7.77211329539
3768,[*]c1cc2c(C)nn([*])c2n(C)c1=O,CHEMBL1091927,[*]c1c(F)cccc1F.[*]c1cc(C(=O)NC2CC2)ccc1C,7.79588001734,[*]c1cc2cnnc([*])c2n(C)c1=O,CHEMBL1254989,[*]c1cc(C(=O)NC2CC2)ccc1C.[*]c1ccc(F)cc1F,8.56863623584
3769,[*]c1cc2nnc([*])n2n(C)c1=O,CHEMBL1945715,[*]c1c(F)cccc1F.[*]c1cc(C(=O)NC2CC2)ccc1C,8.88605664769,[*]c1cc2cnn([*])c2n(C)c1=O,CHEMBL1089865,[*]c1c(F)cccc1F.[*]c1cc(C(=O)NC2CC2)ccc1C,8.55284196866
3770,[*]c1cc2nnc([*])n2n(C)c1=O,CHEMBL1945715,[*]c1c(F)cccc1F.[*]c1cc(C(=O)NC2CC2)ccc1C,8.88605664769,[*]c1cc2cnn([*])c2n(C)c1=O,CHEMBL1091199,[*]c1cc(C(=O)NC2CC2)ccc1C.[*]c1ccc(F)cc1F,8.33724216832
3771,[*]c1cc2nnc([*])n2n(C)c1=O,CHEMBL1945715,[*]c1c(F)cccc1F.[*]c1cc(C(=O)NC2CC2)ccc1C,8.88605664769,[*]c1cc2c(C)nn([*])c2n(C)c1=O,CHEMBL1091927,[*]c1c(F)cccc1F.[*]c1cc(C(=O)NC2CC2)ccc1C,7.79588001734
3772,[*]c1cc2nnc([*])n2n(C)c1=O,CHEMBL1945715,[*]c1c(F)cccc1F.[*]c1cc(C(=O)NC2CC2)ccc1C,8.88605664769,[*]c1cc2cnnc([*])c2n(C)c1=O,CHEMBL1254989,[*]c1cc(C(=O)NC2CC2)ccc1C.[*]c1ccc(F)cc1F,8.56863623584
3773,[*]c1cc2nnc([*])n2n(C)c1=O,CHEMBL1945719,[*]c1cc(C(=O)NC2CC2)ccc1C.[*]c1ccc(F)cc1F,7.77211329539,[*]c1cc2cnn([*])c2n(C)c1=O,CHEMBL1089865,[*]c1c(F)cccc1F.[*]c1cc(C(=O)NC2CC2)ccc1C,8.55284196866
